target_id	bioactivity
Q9BXF3	0
Q9NPH5	1
P27169	1
A0AVT1	0
Q16769	0
P11309	1
P45452	1
Q16875	1
P18054	1
P24557	1
Q8NB78	0
P22736	0
Q86U86	0
Q00796	0
P43166	1
P49327	0
P00371	0
P16083	1
P07824	1
P14735	0
O08537	1
P14174	1
P05164	1
P08238	0
O14746	1
P08487	0
P24063	0
P08575	0
P00734	1
Q13822	0
P60568	1
Q15393	0
Q9Y2D0	0
Q9Y3R4	0
P15207	0
Q9Y256	0
P27695	1
P10686	1
P11474	1
Q15746	1
P52732	1
Q8NFD2	0
P11717	0
Q14469	0
P04406	0
O95271	1
O95718	1
P79291	1
P51813	0
P07451	1
P28223	0
P08842	1
Q07001	0
Q99895	0
P09917	1
P27986	1
P08253	1
P23280	1
P23975	1
P06211	1
Q99707	0
O14757	1
P38398	0
P18825	1
P00918	1
P22687	1
P42866	1
O95470	0
P29372	0
Q9ULX7	1
Q07343	1
Q93009	0
P00451	0
O75469	0
P00519	1
P05979	0
P11926	0
Q8NER1	0
P51812	1
Q9HCR9	0
Q08499	1
P79400	1
P68400	1
P30518	0
P10415	1
P28776	0
Q9P0X4	0
P29275	1
Q16678	1
O00750	0
Q9NWT6	0
P48147	0
P0DP23	0
Q7Z2W7	0
P30291	1
P17948	0
Q13554	1
Q03181	0
Q03114	0
P31749	1
P17538	0
P11064	1
Q3ZAV1	0
P49763	1
Q9BY41	1
P00747	1
Q01062	0
P35462	1
Q64737	0
B2RXH2	1
P14061	1
P06241	0
Q8VCT3	0
Q9H2K2	1
P15692	1
P35367	0
P41595	1
P19174	0
P0C869	0
P41143	1
P01375	1
P06737	1
O43570	1
P43116	1
P06213	1
Q9R1M7	0
P01024	0
P04054	1
P30082	1
P50578	0
P14780	1
Q91WR5	0
O14976	0
P21447	1
Q9Z1T6	0
Q15858	0
Q12931	0
O43451	0
P12527	1
P14920	1
Q9UKK3	0
P27487	0
P26358	0
B5THE3	0
Q14191	0
Q6P7A9	0
P36888	1
Q01959	0
Q13564	0
P30542	0
P10275	1
Q9Y5Y6	0
P21398	1
Q96GD4	1
P21917	1
P22748	1
Q9D6N1	1
P51635	1
P13569	0
Q9P1W9	0
P02766	1
P05091	1
Q9UHI8	0
Q9BYP7	0
