target_id	bioactivity
P45452	1
P48147	0
P38398	0
P30542	0
P11309	1
P35869	1
P08487	0
P27986	1
P23280	1
P24557	1
P35462	1
P34158	0
P13807	0
Q9Y5Y6	0
P10415	1
P08842	1
P10686	1
P11926	0
P17948	0
Q08499	1
P0DP23	0
Q13564	0
Q9NPH5	1
P14061	1
Q9NWT6	0
Q01959	0
Q8VCT3	0
P43166	1
P43250	1
P21917	1
Q7Z2W7	0
Q9BXF3	0
P34913	0
O14746	1
Q9Y2D0	0
Q9WUL0	1
Q15393	0
P07900	0
P04406	0
P22736	0
P22748	1
P14174	1
Q9UBN7	1
P51812	1
P19785	1
Q03181	0
P21447	1
P03956	0
P00918	1
Q9Z1T6	0
Q8NFD2	0
P27708	0
P08514	0
P37058	1
P12527	1
Q16769	0
P00747	1
P26358	0
P16083	1
P49763	1
Q92769	1
P10275	1
Q07817	1
O14976	0
P52732	1
P01024	0
P41595	1
P12821	0
P24063	0
P21588	1
O75762	0
A0AVT1	0
P00519	1
P00371	0
Q9P1W9	0
P08253	1
P51813	0
P15692	1
Q9Y3R4	0
P41143	1
O95718	1
P00591	0
P17599	1
P27695	1
P14780	1
O00750	0
Q15858	0
P80276	0
Q6P7A9	0
Q64737	0
Q9BYP7	0
O95271	1
Q12931	0
P42866	1
Q00796	0
Q01062	0
P08238	0
P23975	1
Q14191	0
P14735	0
Q3ZAV1	0
P51635	1
P13569	0
P60568	1
Q16790	1
P55789	1
P05164	1
P09917	1
P15207	0
Q07001	0
O14757	1
P79400	1
P19174	0
P06241	0
P30291	1
P49841	1
P34949	0
P04054	1
P22985	0
Q92887	0
P17538	0
P18825	1
O60674	0
P32300	1
Q9HCR9	0
P43116	1
P05091	1
Q07343	1
Q62986	1
Q9P0X4	0
Q13554	1
Q16678	1
P01375	1
O43570	1
P30518	0
Q9JKC1	0
P11388	1
P30082	1
Q96S37	1
P06737	1
P08581	1
P30530	1
Q9BY41	1
P50578	0
Q8NB78	0
Q91WR5	0
Q86U86	0
P27487	0
P22687	1
P00749	0
Q9H2K2	1
B5THE3	0
P18054	1
O75469	0
Q9R1M7	0
P27169	1
P28839	0
P79208	0
P00451	0
P56560	0
P07824	1
P08575	0
P11064	1
P35218	1
