target_id	bioactivity
Q13554	1
Q01959	0
P02766	1
P28776	0
P13807	0
Q9ULX7	1
P23280	1
P01375	1
B5THE3	0
P37058	1
P11717	0
Q9NWT6	0
P28839	0
Q99707	0
Q9P0X4	0
Q9BYP7	0
P50578	0
Q8NER1	0
P45452	1
P00747	1
Q62986	1
P36888	1
O60674	0
P56560	0
P16083	1
P31749	1
O95718	1
Q16678	1
Q9BXF3	0
P00734	1
P68400	1
Q12931	0
A0AVT1	0
P07900	0
P06213	1
Q03114	0
P35869	1
O75469	0
B2RXH2	1
P21917	1
P41595	1
P12527	1
P30542	0
Q93009	0
P35367	0
P35218	1
P05979	0
Q9NPH5	1
P22985	0
P08238	0
P42866	1
Q8VCT3	0
P14061	1
P07824	1
P55789	1
O14757	1
O43451	0
Q07001	0
P06211	1
P14780	1
P06737	1
P11474	1
Q9UKK3	0
Q15393	0
P27708	0
P08842	1
P32300	1
P26358	0
Q9R1M7	0
P80276	0
Q01062	0
P17948	0
Q8NB78	0
Q99895	0
Q9P1W9	0
Q14469	0
Q64737	0
Q00796	0
Q03181	0
P00591	0
O95470	0
P28223	0
P11926	0
O43570	1
Q9HCR9	0
P49327	0
P52732	1
Q9D6N1	1
Q16875	1
Q15746	1
P79208	0
P14735	0
P38398	0
P18825	1
Q92769	1
Q9WUL0	1
P21398	1
Q3ZAV1	0
P27986	1
O14976	0
P08253	1
P34913	0
Q9Y256	0
O95271	1
P30082	1
P29275	1
Q7Z2W7	0
Q9Z1T6	0
P00749	0
P19785	1
P12821	0
P05164	1
P34949	0
Q16790	1
P21588	1
P00918	1
Q07343	1
P08581	1
Q15858	0
Q9UBN7	1
P03956	0
P13569	0
P24557	1
P11388	1
P23975	1
Q08499	1
P08575	0
P05091	1
P51813	0
P34158	0
P14174	1
P07451	1
O08537	1
Q07817	1
Q92887	0
P79291	1
P60568	1
P49763	1
P43250	1
P22736	0
P51812	1
P49841	1
P30291	1
Q6P7A9	0
P0C869	0
P21447	1
P14920	1
P08487	0
O75762	0
Q13822	0
O14746	1
P17599	1
P22748	1
P30530	1
O00750	0
Q96S37	1
Q16769	0
P08514	0
Q9JKC1	0
Q9UHI8	0
P06241	0
P22687	1
P29372	0
Q96GD4	1
