target_id	rpssm0	rpssm1	rpssm2	rpssm3	rpssm4	rpssm5	rpssm6	rpssm7	rpssm8	rpssm9	rpssm10	rpssm11	rpssm12	rpssm13	rpssm14	rpssm15	rpssm16	rpssm17	rpssm18	rpssm19	rpssm20	rpssm21	rpssm22	rpssm23	rpssm24	rpssm25	rpssm26	rpssm27	rpssm28	rpssm29	rpssm30	rpssm31	rpssm32	rpssm33	rpssm34	rpssm35	rpssm36	rpssm37	rpssm38	rpssm39	rpssm40	rpssm41	rpssm42	rpssm43	rpssm44	rpssm45	rpssm46	rpssm47	rpssm48	rpssm49	rpssm50	rpssm51	rpssm52	rpssm53	rpssm54	rpssm55	rpssm56	rpssm57	rpssm58	rpssm59	rpssm60	rpssm61	rpssm62	rpssm63	rpssm64	rpssm65	rpssm66	rpssm67	rpssm68	rpssm69	rpssm70	rpssm71	rpssm72	rpssm73	rpssm74	rpssm75	rpssm76	rpssm77	rpssm78	rpssm79	rpssm80	rpssm81	rpssm82	rpssm83	rpssm84	rpssm85	rpssm86	rpssm87	rpssm88	rpssm89	rpssm90	rpssm91	rpssm92	rpssm93	rpssm94	rpssm95	rpssm96	rpssm97	rpssm98	rpssm99	rpssm100	rpssm101	rpssm102	rpssm103	rpssm104	rpssm105	rpssm106	rpssm107	rpssm108	rpssm109
P17599	2.97777777778	2.87297084318	2.92267533491	4.18881008668	3.57243892829	3.91063829787	3.5048857368	2.980535855	4.38408195429	11.0720252167	3.1213750985	2.64379432624	2.69007092199	3.00325059102	2.68156028369	2.91199763593	2.71932624113	3.43776595745	3.78670212766	9.53705673759	3.09211977935	2.80460992908	2.82641843972	3.38983451537	2.89627659574	3.13144208038	2.99787234043	3.48439716312	4.1574468085100005	9.99361702128	4.2145784082	3.0288416075700004	3.42771867612	1.08975571316	1.92429078014	1.58116627266	2.1780141844	5.39952718676	2.3581560283700003	4.58463356974	3.26918833727	2.71134751773	3.02925531915	2.06548463357	2.15053191489	2.21607565012	2.45390070922	4.3865248227	2.87588652482	6.55957446809	3.59330181245	2.89613869188	3.22480299448	1.6765169424700002	2.17763987392	1.97990543735	2.380535855	4.9826635145800005	2.75027580772	5.70772261623	3.67752167061	2.96471631206	3.21666666667	2.02275413712	2.29255319149	2.27169030733	2.37677304965	4.75372340426	3.1700354609900003	6.55443262411	3.24011032309	3.48226950355	3.4132978723400003	5.31560283688	4.37109929078	4.78605200946	4.70921985816	3.09361702128	5.62907801418	13.019148936199999	4.44223798266	3.72978723404	4.179964539009998	2.39763593381	2.73705673759	2.61087470449	3.11914893617	5.421985815599999	2.82695035461	5.83120567376	11.0769897557	9.363120567380001	10.0338652482	4.62718676123	6.48173758865	5.54586288416	6.59432624113	13.014184397200001	5.85319148936	3.87163120567	3.0296057177999995	2.9247330650300003	3.25886372573	1.39656668281	2.37741304801	2.1442077485	2.53757152373	4.231341636640002	3.92887351636	9.36433363561
Q62986	3.08737660155	4.14219701743	3.3427326192	3.32430161731	3.70961982777	3.62392354547	3.6825246796900006	4.68063432052	3.838794370930001	6.67527830288	3.83375341315	3.25	3.24810964083	2.79437093048	3.38752362949	3.23808023524	3.71172022684	5.03969754253	4.6502835538800005	6.457466918709999	3.25821781138	3.44352551985	2.88870510397	2.7475057761	3.32206994329	2.88371665616	3.33624763705	4.77859168242	3.79465973535	6.15382797732	3.66131064902	2.8600084016000005	2.81196177274	1.3428901491299998	2.41797941609	2.28712455367	3.07298886788	4.74816215081	3.15017853392	3.6829447595	4.1677168662	3.54725897921	3.5524574669199995	2.12581390464	2.9938563327	3.0373871035500004	3.7438563327	5.07183364839	4.04725897921	4.44328922495	3.77746271792	3.40369670237	3.03554925436	2.38531821046	3.15101869355	2.84394034867	3.38353287125	5.19512707414	3.76412518378	4.93142197017	3.82398655745	3.5732514177699994	3.29962192817	3.05366519639	3.83128544423	3.71035496744	3.42674858223	5.01417769376	4.3667296786400005	6.28166351607	5.03602184415	5.32325141777	5.12334593573	5.02467968914	5.23251417769	4.70846460828	4.63516068053	6.51039697543	6.1965973535000005	8.123818525519999	4.42134005461	4.81285444234	4.09877126654	3.06280193237	4.06899810964	3.44097878597	3.87240075614	6.1502835538800005	3.44139886578	5.09451795841	6.70709934888	6.14650283554	5.88327032136	3.74175593363	4.77693761815	5.08527620248	6.76465028355	8.45557655955	5.24574669187	4.80623818526	4.34488706934	3.5481167675300003	3.05199448202	1.80378782485	3.5699902100400003	3.38270677584	3.96702029192	7.654927020289999	4.63383410466	8.4635991456
O95271	6.92148483325	8.651091419470001	10.5234204793	7.52593430535	11.053083626600001	9.20868945869	8.99913063516	9.12887548182	7.762485336010001	9.50481816658	8.33778490028	6.00377073906	8.17467948718	5.825425255569999	9.81966440422	7.973782889219999	8.57145550528	8.62415158371	10.514800150800001	11.7659313725	10.763815569	8.58069381599	9.956730769229999	6.211737472769999	10.6211349925	7.4926994302	8.765271493210001	9.7834653092	11.5670248869	12.0734351433	8.19260097201	6.6326566951600014	7.23060164237	2.79512317748	8.12087313558	5.973353443940001	5.81076127032	5.36597117479	7.699430199430001	7.865342718280001	9.86631682588	10.3947963801	10.482937405700001	6.8907847327	9.64470211161	9.26098751466	8.227941176469999	9.21842006033	8.07023001508	11.164498491700002	7.729219038039999	8.538681498239999	8.67835595777	5.81640690464	8.65309200603	7.66985084632	6.74607214681	7.63637506285	7.501508295630001	9.309451985920001	8.28134950561	9.48906485671	10.5029223228	5.88889936316	8.46804298643	7.48119867605	7.1561085972899985	8.06004901961	6.62792232278	9.646776018099999	8.548726328139999	8.11057692308	9.21983408748	5.503184179650002	9.99736048265	7.4550863080299985	7.476715686269999	7.59841628959	9.4419306184	10.627450980399999	8.78050108932	12.2587669683	12.454751131199998	7.930031841799999	9.75452488688	9.43221049103	8.77912895928	8.47549019608	9.278280542989998	10.750377073900001	9.96049103402	10.2470776772	12.062971342400001	10.3387799564	13.6052036199	10.7132562427	11.5898378582	12.360105580699999	11.4849170437	8.516591251889999	8.068836645	7.09941996526	9.1852902644	4.0195507914	12.4017370945	9.76425019597	9.55080670487	7.27172872955	13.5649943865	12.139992015599999
P27695	4.417455310199999	4.18493690852	5.00525762355	3.91412548195	3.93335962145	4.7940764108	5.68296529968	4.56151419558	5.32176656151	6.7029442691900005	4.34950052576	3.4313880126200003	4.046135646690002	2.75135821942	3.3509463722400006	3.491105853490001	4.0011829653	4.74802839117	4.00512618297	5.60607255521	4.72778654048	3.5126182965300004	4.03351735016	2.81103224676	3.62933753943	3.7668682089	4.47831230284	5.035883280759999	4.31979495268	5.94755520505	3.75972660358	2.99636347704	3.38555906064	1.8329828251	2.7705485453900005	2.63056431826	3.14160532773	4.67735716789	3.30406589555	4.02488608482	3.73764458465	3.2677444795	3.55205047319	2.53277252015	3.00906940063	3.4118471784099995	4.08123028391	3.73974763407	3.6529968454300006	4.8422712933800005	4.19348054679	3.64357693656	4.2504381353	2.78618997546	3.25477567473	3.12215212057	3.638976515950001	5.45706274097	3.62110059586	4.20311952331	5.349106204	4.44045741325	4.8927444795	2.99964949176	3.80875394322	3.52436032247	3.76735015773	6.2807570977900005	3.99211356467	5.03470031546	4.546792849630001	4.33951104101	5.26971608833	4.73676831406	4.24723974763	5.4029092183700005	6.2429022082	5.0	5.43533123028	7.222397476339999	4.79442691903	4.15496845426	4.40378548896	3.3987031195200004	4.5721608832800005	4.02067998598	5.238170347	6.05205047319	4.023659305990002	5.05047318612	6.82439537329	5.8836750788600005	6.57728706625	4.403434980719999	4.99802839117	4.19470732562	4.55520504732	7.990536277599999	5.19242902208	4.8596214511	6.421512202840001	4.50351301373	4.55875954274	2.18724206585	3.84699972311	4.48925741334	5.45341363079	6.964597919389999	5.250593330959999	8.317076065030001
P00519	3.62543056786	4.31171882689	4.29643981892	4.620362169080001	4.50196831021	4.73152248794	5.01071498868	4.46993406161	4.88136010235	7.841501820689999	4.36229209723	3.76206820195	3.87832152347	3.2570859167400004	3.77967227635	3.82553390414	3.82872010629	4.62068201949	4.8686891054000005	6.447962798940001	4.21514860742	3.89503985828	3.8930469442	3.4260038382	3.93523029229	4.15108011023	3.90854738707	4.59444198406	5.03111160319	6.55945527015	4.54468064167	3.4076247416600003	3.59591821671	1.93288062199	2.74298789489	2.73491782305	3.0333997638	4.89031591379	3.84824328314	4.39208739297	4.46334022242	4.07894154119	4.17991585474	2.97018010038	3.16961913198	3.42392481055	3.810341009740001	4.97165633304	4.0832595217000005	5.47475642161	4.6902863891300015	4.02685513237	4.14399419348	2.98410589509	3.43425843913	3.49965554571	4.108343174880002	5.296821179019999	4.3067119377999985	5.49832693633	5.14126316307	4.22829937998	4.4665633303800005	3.1979997047500004	3.55059787422	3.6496776892	4.04982285208	5.60042072631	4.58403454384	5.761182462359999	4.40886723748	4.6017493357	4.660872453500001	4.84027162681	5.00841452613	5.22433815569	5.44275907883	5.159875996459999	5.828166519040001	7.6147032772399985	4.82117901781	4.693423383530001	4.6812444641300015	3.88293475052	4.05801594331	4.17547485484	4.67792294066	5.122232063769999	4.31045172719	6.60008857396	7.751796083060001	6.83337023915	6.7087023915	4.2874224977900015	4.95084145261	5.08099596496	5.547719220549999	7.91496899911	5.89681133747	5.26705048716	3.85923208117	3.83884975331	4.02123913384	2.73431740065	4.14174171822	4.37523420437	4.49755442869	5.511128514369999	5.95610932728	9.434007361579999
P43250	6.33574879227	6.7484057971	6.937536231880001	5.231400966180001	6.447681159419999	7.05188405797	7.9115942029	6.437681159419999	6.797681159419999	8.69623188406	7.14898550725	6.4739130434800005	6.58826086957	4.64289855072	5.84695652174	6.18125603865	6.78217391304	6.84608695652	7.102608695650001	8.38086956522	7.1247826087	6.31652173913	6.55869565217	4.92739130435	6.1352173913	6.33850241546	6.957826086960001	7.0352173913	7.34043478261	8.22739130435	5.34560386473	4.75777777778	4.90285024155	3.09439613527	4.05560386473	4.39642512077	5.13198067633	6.184154589369999	6.17371980676	5.88966183575	6.0752173913	5.79652173913	5.82565217391	4.24652173913	5.0847826087	5.64719806763	6.29782608696	6.89173913043	6.84913043478	6.81173913043	6.41710144928	6.00425120773	6.182367149759999	4.54579710145	5.12816425121	5.54289855072	6.3909178744	8.20193236715	7.78917874396	7.2477294686	7.572246376810001	6.56934782609	6.805869565219999	5.06760869565	5.73108695652	6.03524154589	6.39065217391	8.437173913039999	7.862391304349999	8.342391304349999	7.4368115942	6.93565217391	7.2047826087	6.00898550725	7.2847826087	8.03140096618	8.2547826087	7.17739130435	7.23130434783	8.900869565219999	6.84550724638	7.73391304348	7.6952173913	5.97130434783	6.55782608696	7.39256038647	7.889565217389999	7.44347826087	7.187826086960001	8.366956521739999	7.89623188406	8.90782608696	8.678695652170001	6.55710144928	7.18565217391	7.42879227053	8.893043478260003	9.97304347826	8.54869565217	7.327826086960001	6.7030255353	6.5533824025800005	6.69880205319	3.7916613083	6.26767985026	7.18052307045	7.95353190104	7.68547152296	8.32986111111	10.8830897955
P11064	7.618542108989999	7.591472045289999	7.976026185419999	5.837933474880002	6.89401981599	7.416489738150001	7.958510261849999	9.48159943383	7.706652512380002	11.5463552725	8.25946567587	7.04856687898	8.41401273885	5.02450460014	8.11863057325	8.01919674452	8.15923566879	9.035828025479999	9.06449044586	11.9944267516	8.47284147205	7.417993630569999	8.02229299363	6.07864472753	8.99601910828	8.69966383581	9.031847133760001	8.27468152866	10.7492038217	12.010350318499999	6.243807501769999	5.677105449400001	5.7792816702100005	3.1100495399900003	5.35757254069	6.082802547769999	7.30104387827	7.676574663839999	7.33687190375	9.28697806086	7.23982661005	7.970541401269998	6.82324840764	5.48257254069	6.0597133758	7.641808209480001	8.18312101911	10.0469745223	7.98328025478	10.7125796178	8.0728945506	8.90782024062	8.239295824489998	6.24699221515	6.86641896674	7.99893842887	9.36296886058	11.3435951875	8.93807501769	10.830856334000002	8.820506015569999	9.04378980892	8.35828025478	5.965587402690001	7.61385350318	8.68957891012	9.2898089172	11.018312101900001	9.14570063694	12.5087579618	10.0325548478	9.476114649680001	10.8160828025	6.70417551309	9.55891719745	9.65215852795	9.117038216560001	10.742038216600001	11.1369426752	11.7197452229	9.86801132343	10.864649681500001	10.1122611465	7.8177636235	7.47611464968	9.06510969568	11.034235668800001	12.1910828025	8.70063694268	10.525477707	9.26822363765	11.4633757962	11.5772292994	9.075725406939998	8.93789808917	9.61394196745	11.5851910828	14.302547770699999	10.2006369427	10.5987261146	9.60266339084	8.91379586605	8.99523313572	4.57367943172	9.61529602628	11.251348608699999	12.230822384200001	12.3086043903	13.098061208099999	14.306040698599999
P60568	2.50804093567	3.79230628655	3.3786549707599995	2.80372807018	3.01352339181	3.2485380117	3.0713633040900006	3.3896198830400004	2.50804093567	3.64400584795	4.16739766082	3.74095394737	3.82072368421	2.42799707602	3.52960526316	3.27302631579	3.21299342105	4.81907894737	3.9375	4.84210526316	3.8463998538	3.82072368421	3.60444078947	2.03901681287	3.0419407894700004	2.9279057017500003	2.9572368421099995	4.40378289474	3.26891447368	4.11759868421	2.8366228070200004	2.87600511696	2.68713450292	1.5716374269	2.46016081871	2.63340643275	2.36449195906	3.65752923977	2.95358187135	3.14875730994	2.48839546784	3.49835526316	3.11266447368	2.90688961988	3.32483552632	3.772752192980001	3.24671052632	4.00740131579	3.15871710526	3.87911184211	2.99378654971	3.40049342105	3.4539473684199997	3.01096491228	3.41118421053	3.65899122807	3.42845394737	4.48355263158	3.68092105263	4.52960526316	2.83817616959	3.25	3.234375	2.83452119883	3.21957236842	3.62911184211	3.29769736842	4.39555921053	3.4580592105300005	4.19161184211	3.933845029240001	5.206414473680001	4.84539473684	3.67470760234	3.90789473684	3.95504385965	3.82648026316	5.10197368421	3.5822368421099995	4.58223684211	2.4360380117	4.449835526319999	3.75986842105	3.02558479532	3.15460526316	3.76425438596	3.44490131579	3.6414473684199993	2.27960526316	3.24013157895	3.77923976608	5.012335526319999	4.746710526319999	3.2394005848000003	3.5986842105300005	4.1951754386	3.72450657895	4.46052631579	3.48684210526	3.31578947368	2.55982267029	3.85078388654	3.42329873126	1.60476739715	3.0978683412400003	3.43201332821	3.14451706609	4.61574608057	2.37199367765	4.72895040369
Q96S37	5.27345008052	4.753799315619999	4.52735004026	3.91656602254	5.23636272142	6.30797101449	6.87525161031	5.70450885668	5.92159822866	6.8509460547500005	5.425875603860002	3.96218297101	3.98573369565	3.12937801932	5.46195652174	6.4332226248	6.99864130435	5.11277173913	5.51947463768	6.628170289859999	5.1849335748800005	3.88609601449	3.8657155797099993	3.10310990338	5.3464673913	6.26051731079	6.89175724638	4.87273550725	5.34375	6.16168478261	3.50895732689	2.93677033011	2.95126308374	1.93729871176	3.23606078905	4.07045088567	4.446809581319999	4.36936392915	4.32860305958	4.86302334944	4.4715428744	4.82744565217	4.64221014493	3.24901871981	3.40375905797	3.75606380837	3.91055253623	6.35258152174	5.18772644928	5.216711956519999	5.637681159419999	6.13403280998	5.820023148150001	3.81380837359	3.38259863124	2.98178341385	3.63561795491	7.678643317230001	5.36855877617	5.48691626409	5.63247282609	6.55344202899	6.06612318841	4.2758907004800015	3.60031702899	3.80829810789	3.24886775362	7.528306159419999	5.932291666669999	5.829936594199999	5.7297705314	5.09488224638	5.109375	4.31672705314	6.29121376812	7.403180354269999	7.86730072464	4.83333333333	6.03170289855	7.727355072460001	5.7895531401	5.75883152174	5.48980978261	4.37711352657	4.64447463768	5.1700885668300005	5.19972826087	6.409420289859999	5.60778985507	6.35960144928	6.323369565219999	6.96082427536	6.930932971010001	4.926630434780001	4.5294384058	4.61755233494	5.556612318840001	8.23731884058	6.29438405797	5.94293478261	5.99217376423	4.95567004241	4.77297430749	2.33565540728	4.1135463639099985	4.36346361436	5.02057656903	7.736718016799999	6.2781474711300005	6.96915394903
Q9H2K2	7.70453028135	9.583822126849999	11.7916189795	8.07405817835	11.8762398665	9.91688125894	9.7342513114	10.0583214115	8.16418693371	10.0782069623	9.29741297091	6.7025751073	9.19763948498	6.43932999523	10.7667381974	8.92435622318	9.46673819742	9.38787553648	11.747532188800001	12.6960300429	11.8128993801	9.35075107296	11.0842274678	6.85481640439	11.6428111588	8.29992846924	9.69045064378	10.571888412	12.8130901288	13.1139484979	8.938769670960001	7.395267048160001	7.95542441583	3.18478779208	9.011289938010002	6.71840724845	6.42852885074	5.67205531712	8.669194086789997	8.516833571769999	10.416010968	11.533476394800001	11.6639484979	7.63503814974	10.753648068699999	10.2988912732	9.08347639485	9.881008583689999	8.596030042919999	11.922639485	8.28454935622	9.63313066285	9.79886742966	6.57644253696	9.6465784454	8.67076776347	7.52819504053	8.27057701478	8.12579876013	9.96142107773	8.95485216977	10.610944206000001	11.737124463499999	6.50807105389	9.4635193133	8.458333333330001	8.00515021459	8.806545064380002	7.282510729610001	10.4438841202	9.51869337148	8.88401287554	10.0739270386	5.796089651880001	10.7282188841	8.0912732475	8.02371244635	8.31330472103	10.3227467811	11.729184549400001	9.42284215546	13.787875536500001	13.92027897	8.86590367191	10.841523605199999	10.5862660944	9.723283261799999	9.37682403433	10.0025751073	11.439055794000001	10.281497377200001	10.9204935622	12.7679184549	11.194659036700001	14.7505364807	11.537911301900001	12.6576180258	13.219742489300003	12.3939914163	8.93690987124	8.78141107178	7.80137338955	10.0011209542	4.28539358111	13.5350916034	10.7263748034	10.422246122999999	7.863941610349999	14.649941598599998	11.219778368800002
