target_id	hydrophobicity_PRAM900101.Tr1221	hydrophobicity_PRAM900101.Tr1331	hydrophobicity_PRAM900101.Tr2332	hydrophobicity_ARGP820101.Tr1221	hydrophobicity_ARGP820101.Tr1331	hydrophobicity_ARGP820101.Tr2332	hydrophobicity_ZIMJ680101.Tr1221	hydrophobicity_ZIMJ680101.Tr1331	hydrophobicity_ZIMJ680101.Tr2332	hydrophobicity_PONP930101.Tr1221	hydrophobicity_PONP930101.Tr1331	hydrophobicity_PONP930101.Tr2332	hydrophobicity_CASG920101.Tr1221	hydrophobicity_CASG920101.Tr1331	hydrophobicity_CASG920101.Tr2332	hydrophobicity_ENGD860101.Tr1221	hydrophobicity_ENGD860101.Tr1331	hydrophobicity_ENGD860101.Tr2332	hydrophobicity_FASG890101.Tr1221	hydrophobicity_FASG890101.Tr1331	hydrophobicity_FASG890101.Tr2332	normwaalsvolume.Tr1221	normwaalsvolume.Tr1331	normwaalsvolume.Tr2332	polarity.Tr1221	polarity.Tr1331	polarity.Tr2332	polarizability.Tr1221	polarizability.Tr1331	polarizability.Tr2332	charge.Tr1221	charge.Tr1331	charge.Tr2332	secondarystruct.Tr1221	secondarystruct.Tr1331	secondarystruct.Tr2332	solventaccess.Tr1221	solventaccess.Tr1331	solventaccess.Tr2332
Q13507	0.19880239520958085	0.22395209580838324	0.237125748502994	0.20479041916167665	0.2538922155688623	0.2059880239520958	0.18203592814371256	0.34850299401197604	0.11137724550898204	0.1341317365269461	0.3317365269461078	0.15568862275449102	0.33532934131736525	0.1592814371257485	0.1065868263473054	0.19760479041916168	0.2730538922155689	0.19041916167664671	0.09461077844311376	0.32335329341317365	0.17125748502994012	0.2574850299401197	0.19520958083832332	0.19401197604790416	0.2263473053892216	0.2610778443113773	0.1688622754491018	0.24910179640718566	0.16526946107784432	0.22395209580838324	0.1724550898203593	0.02874251497005988	0.17365269461077845	0.28622754491017965	0.21916167664670655	0.12574850299401194	0.274251497005988	0.22395209580838324	0.14850299401197606
P25024	0.15759312320916904	0.16332378223495705	0.28939828080229224	0.17191977077363896	0.2177650429799427	0.23209169054441264	0.18051575931232086	0.29512893982808025	0.13753581661891118	0.10315186246418337	0.28653295128939826	0.18911174785100288	0.335243553008596	0.12893982808022922	0.1346704871060172	0.17765042979942694	0.22922636103151864	0.22349570200573066	0.09455587392550144	0.23782234957020054	0.22636103151862466	0.2693409742120344	0.2005730659025788	0.19197707736389685	0.2808022922636103	0.19484240687679086	0.1489971346704871	0.2349570200573066	0.16618911174785098	0.22636103151862466	0.14326647564469913	0.011461318051575931	0.09169054441260743	0.2922636103151863	0.17765042979942694	0.16618911174785098	0.1977077363896848	0.2406876790830945	0.12320916905444125
P01024	0.21660649819494585	0.20276774969915765	0.2370637785800241	0.266546329723225	0.22382671480144406	0.17208182912154033	0.2322503008423586	0.28098676293622143	0.10409145607701564	0.17328519855595667	0.32551143200962696	0.13477737665463296	0.358604091456077	0.12936221419975932	0.06678700361010831	0.22202166064981949	0.2563176895306859	0.1762936221419976	0.1510228640192539	0.2966305655836341	0.19133574007220214	0.29482551143200963	0.17087845968712395	0.19193742478941034	0.22563176895306855	0.2346570397111913	0.19554753309265946	0.2851985559566787	0.14921780986762934	0.21359807460890493	0.17388688327316487	0.03309265944645006	0.18231046931407946	0.2490974729241877	0.23766546329723226	0.14199759326113118	0.273164861612515	0.22382671480144406	0.14620938628158844
Q16832	0.22365339578454327	0.1990632318501171	0.2330210772833724	0.2154566744730679	0.2330210772833724	0.202576112412178	0.18266978922716628	0.2868852459016393	0.1252927400468384	0.1686182669789227	0.32669789227166274	0.14285714285714285	0.3325526932084309	0.1557377049180328	0.08782201405152225	0.22365339578454327	0.2599531615925059	0.16276346604215455	0.15105386416861827	0.297423887587822	0.19086651053864168	0.28337236533957844	0.18266978922716628	0.18149882903981265	0.22365339578454327	0.2459016393442623	0.19789227166276346	0.25175644028103045	0.15339578454332553	0.2107728337236534	0.15105386416861827	0.02224824355971897	0.1873536299765808	0.2611241217798595	0.24473067915690866	0.15339578454332553	0.26229508196721313	0.23185011709601874	0.16042154566744732
Q8NER1	0.22076372315035803	0.18615751789976132	0.2446300715990453	0.22553699284009546	0.2279236276849642	0.19689737470167065	0.19331742243436756	0.2840095465393795	0.11694510739856802	0.16467780429594273	0.29952267303102625	0.1360381861575179	0.3042959427207637	0.14081145584725538	0.09069212410501193	0.2326968973747017	0.24105011933174225	0.16825775656324582	0.15632458233890215	0.2816229116945108	0.16348448687350836	0.2553699284009546	0.18615751789976132	0.1766109785202864	0.2219570405727924	0.21360381861575176	0.2052505966587112	0.2553699284009546	0.162291169451074	0.20047732696897372	0.1718377088305489	0.025059665871121718	0.1801909307875895	0.2362768496420048	0.2219570405727924	0.15035799522673032	0.2494033412887828	0.2398568019093079	0.1575178997613365
Q99707	0.2278481012658228	0.2096518987341772	0.2262658227848101	0.2397151898734177	0.2310126582278481	0.1962025316455696	0.20490506329113925	0.3196202531645569	0.1028481012658228	0.18670886075949367	0.29193037974683544	0.1819620253164557	0.3623417721518987	0.1463607594936709	0.08465189873417721	0.2120253164556962	0.2571202531645569	0.17563291139240506	0.1281645569620253	0.3109177215189873	0.19778481012658228	0.29667721518987344	0.18829113924050636	0.1875	0.2175632911392405	0.2563291139240506	0.19699367088607594	0.28718354430379744	0.15664556962025314	0.2191455696202532	0.16455696202531644	0.03164556962025317	0.1875	0.2468354430379747	0.2349683544303797	0.16772151898734178	0.2848101265822785	0.2104430379746836	0.15268987341772153
P30082	0.1590909090909091	0.1797520661157025	0.26859504132231404	0.21487603305785125	0.20041322314049587	0.2128099173553719	0.2128099173553719	0.2727272727272727	0.12396694214876032	0.1487603305785124	0.2954545454545455	0.1652892561983471	0.3285123966942149	0.15289256198347104	0.10330578512396696	0.20454545454545456	0.24173553719008264	0.1900826446280992	0.10537190082644628	0.3119834710743802	0.16942148760330578	0.2272727272727273	0.1838842975206612	0.19834710743801653	0.23553719008264465	0.22520661157024796	0.14256198347107438	0.22520661157024796	0.14049586776859505	0.24173553719008264	0.14669421487603307	0.014462809917355372	0.10537190082644628	0.26859504132231404	0.18801652892561985	0.1590909090909091	0.22933884297520665	0.25413223140495866	0.10950413223140497
P50416	0.2344559585492228	0.19689119170984454	0.2629533678756477	0.24093264248704666	0.21243523316062174	0.2020725388601036	0.20854922279792745	0.2862694300518135	0.11010362694300517	0.16580310880829016	0.2914507772020725	0.18134715025906736	0.33549222797927464	0.15284974093264247	0.08549222797927461	0.2474093264248705	0.2616580310880829	0.18264248704663213	0.14766839378238342	0.31994818652849744	0.16839378238341968	0.2590673575129533	0.22538860103626945	0.19689119170984454	0.23316062176165805	0.23963730569948186	0.21502590673575128	0.25777202072538863	0.19041450777202076	0.2318652849740933	0.19430051813471505	0.022020725388601038	0.16191709844559585	0.25647668393782386	0.21243523316062174	0.16580310880829016	0.266839378238342	0.2383419689119171	0.1645077720207254
P30542	0.11384615384615385	0.1723076923076923	0.3476923076923077	0.16923076923076924	0.19692307692307687	0.28923076923076924	0.17846153846153845	0.3169230769230769	0.15076923076923074	0.1076923076923077	0.30153846153846153	0.2123076923076923	0.28923076923076924	0.15692307692307692	0.18153846153846154	0.11692307692307692	0.27384615384615385	0.24615384615384614	0.07384615384615385	0.24923076923076926	0.19692307692307687	0.31076923076923074	0.13538461538461538	0.2123076923076923	0.31076923076923074	0.20307692307692307	0.10153846153846154	0.28	0.09846153846153846	0.24923076923076926	0.12923076923076926	0.018461538461538463	0.07692307692307693	0.3507692307692308	0.16923076923076924	0.13538461538461538	0.20615384615384616	0.26153846153846155	0.08
Q99895	0.18352059925093636	0.19101123595505615	0.31835205992509363	0.2397003745318352	0.23220973782771534	0.16104868913857678	0.2247191011235955	0.26217228464419473	0.09363295880149812	0.16853932584269662	0.31835205992509363	0.19850187265917604	0.31086142322097376	0.19850187265917604	0.08614232209737828	0.20599250936329588	0.2359550561797753	0.2209737827715356	0.1348314606741573	0.2846441947565543	0.2247191011235955	0.2958801498127341	0.18352059925093636	0.149812734082397	0.2958801498127341	0.2209737827715356	0.1760299625468165	0.2883895131086142	0.14606741573033707	0.18726591760299627	0.13857677902621726	0.018726591760299626	0.13857677902621726	0.2209737827715356	0.18352059925093636	0.2209737827715356	0.250936329588015	0.2546816479400749	0.12359550561797752
