target_id	alphaticr.alphaticr	alphaticr.aromatic	alphaticr.postivecharger	alphaticr.negativecharger	alphaticr.uncharger	aromatic.alphaticr	aromatic.aromatic	aromatic.postivecharger	aromatic.negativecharger	aromatic.uncharger	postivecharger.alphaticr	postivecharger.aromatic	postivecharger.postivecharger	postivecharger.negativecharger	postivecharger.uncharger	negativecharger.alphaticr	negativecharger.aromatic	negativecharger.postivecharger	negativecharger.negativecharger	negativecharger.uncharger	uncharger.alphaticr	uncharger.aromatic	uncharger.postivecharger	uncharger.negativecharger	uncharger.uncharger
Q13507	0.1688622754491018	0.04431137724550898	0.04910179640718563	0.03592814371257485	0.09700598802395208	0.053892215568862284	0.011976047904191616	0.008383233532934131	0.010778443113772455	0.027544910179640718	0.041916167664670656	0.019161676646706587	0.02035928143712575	0.017964071856287425	0.031137724550898208	0.04670658682634729	0.013173652694610778	0.015568862275449104	0.019161676646706587	0.025149700598802397	0.08263473053892216	0.02395209580838324	0.03712574850299402	0.03712574850299402	0.061077844311377236
P25024	0.2063037249283668	0.06303724928366762	0.04297994269340974	0.017191977077363897	0.12034383954154727	0.07163323782234958	0.005730659025787965	0.014326647564469915	0.008595988538681949	0.022922636103151862	0.045845272206303724	0.011461318051575931	0.022922636103151862	0.005730659025787965	0.025787965616045846	0.02005730659025788	0.008595988538681949	0.005730659025787965	0.008595988538681949	0.017191977077363897	0.10601719197707736	0.034383954154727794	0.025787965616045846	0.02005730659025788	0.06876790830945559
P01024	0.12936221419975932	0.030084235860409144	0.052948255114320095	0.04151624548736462	0.11793020457280386	0.035499398315282794	0.007220216606498195	0.00842358604091456	0.009025270758122744	0.020457280385078217	0.04693140794223827	0.015042117930204572	0.017448856799037304	0.015643802647412757	0.03971119133574008	0.04753309265944645	0.009025270758122744	0.0210589651022864	0.020457280385078217	0.030084235860409144	0.11191335740072203	0.019253910950661854	0.034897713598074614	0.04151624548736462	0.07701564380264743
Q16832	0.1358313817330211	0.03161592505854801	0.05269320843091335	0.03981264637002342	0.11241217798594848	0.04098360655737705	0.00468384074941452	0.016393442622950817	0.0117096018735363	0.03161592505854801	0.04098360655737705	0.016393442622950817	0.0117096018735363	0.01756440281030445	0.02576112412177986	0.0468384074941452	0.01873536299765808	0.008196721311475409	0.01756440281030445	0.030444964871194382	0.10655737704918032	0.033957845433255265	0.0234192037470726	0.03629976580796253	0.08782201405152225
Q8NER1	0.1575178997613365	0.0477326968973747	0.04534606205250597	0.04534606205250597	0.07995226730310262	0.033412887828162284	0.017899761336515514	0.01909307875894988	0.005966587112171838	0.032219570405727926	0.039379474940334135	0.013126491646778043	0.01909307875894988	0.015513126491646776	0.039379474940334135	0.041766109785202864	0.00954653937947494	0.013126491646778043	0.010739856801909307	0.03818615751789976	0.1026252983293556	0.02028639618138425	0.031026252983293555	0.035799522673031034	0.08591885441527446
Q99707	0.17721518987341772	0.030854430379746837	0.06091772151898734	0.05379746835443038	0.09651898734177217	0.03164556962025317	0.005537974683544304	0.010284810126582278	0.014240506329113925	0.01819620253164557	0.0569620253164557	0.011867088607594936	0.01819620253164557	0.01740506329113924	0.029272151898734174	0.049841772151898736	0.015031645569620253	0.022151898734177212	0.030063291139240507	0.022151898734177212	0.1028481012658228	0.01661392405063291	0.022151898734177212	0.0245253164556962	0.061708860759493674
P30082	0.1838842975206612	0.04338842975206612	0.045454545454545456	0.02066115702479339	0.11570247933884298	0.0475206611570248	0.016528925619834708	0.014462809917355372	0.008264462809917356	0.03512396694214876	0.05785123966942149	0.014462809917355372	0.014462809917355372	0.006198347107438018	0.02685950413223141	0.02685950413223141	0.006198347107438018	0.012396694214876032	0.012396694214876032	0.014462809917355372	0.09090909090909093	0.04132231404958678	0.033057851239669415	0.02479338842975207	0.08677685950413222
P50416	0.13471502590673576	0.04533678756476684	0.062176165803108814	0.04015544041450777	0.0932642487046632	0.05051813471502591	0.010362694300518135	0.022020725388601038	0.010362694300518135	0.019430051813471502	0.06476683937823834	0.014248704663212437	0.01813471502590673	0.014248704663212437	0.03626943005181347	0.034974093264248704	0.010362694300518135	0.01295336787564767	0.01295336787564767	0.03367875647668394	0.08937823834196891	0.03238341968911917	0.03367875647668394	0.027202072538860103	0.07642487046632124
P30542	0.24923076923076926	0.05230769230769231	0.036923076923076927	0.02769230769230769	0.11692307692307692	0.06461538461538463	0.015384615384615384	0.015384615384615384	0.003076923076923077	0.018461538461538463	0.04307692307692308	0.015384615384615384	0.012307692307692308	0.006153846153846154	0.021538461538461538	0.018461538461538463	0.006153846153846154	0.015384615384615384	0.012307692307692308	0.006153846153846154	0.1046153846153846	0.02769230769230769	0.018461538461538463	0.012307692307692308	0.08
Q99895	0.1647940074906367	0.02621722846441948	0.041198501872659166	0.048689138576779034	0.12734082397003746	0.03745318352059925	0.003745318352059925	0.011235955056179777	0.003745318352059925	0.02621722846441948	0.048689138576779034	0.003745318352059925	0.02621722846441948	0.00749063670411985	0.03745318352059925	0.02621722846441948	0.011235955056179777	0.018726591760299626	0.0149812734082397	0.02247191011235955	0.13108614232209734	0.03745318352059925	0.02621722846441948	0.018726591760299626	0.07865168539325842
Q92793	0.11183941007783696	0.015977058582548137	0.03482179434657927	0.02744776730848013	0.1417451863990168	0.013928717738631708	0.0036870135190495697	0.008193363375665709	0.004506349856616141	0.013109381401065138	0.032363785333879555	0.006964358869315854	0.02458009012699713	0.00942236788201557	0.04055714870954527	0.02458009012699713	0.004916018025399428	0.008193363375665709	0.010651372388365424	0.02662843097091356	0.14911921343711593	0.011880376894715279	0.038099139696845565	0.02294141745186399	0.21384678410487507
P30411	0.1717948717948718	0.05128205128205128	0.035897435897435895	0.028205128205128206	0.14102564102564102	0.05897435897435897	0.002564102564102564	0.010256410256410256	0.007692307692307694	0.030769230769230767	0.02564102564102564	0.010256410256410256	0.017948717948717947	0.007692307692307694	0.028205128205128206	0.02307692307692308	0.010256410256410256	0.010256410256410256	0.007692307692307694	0.015384615384615384	0.14615384615384616	0.035897435897435895	0.015384615384615384	0.015384615384615384	0.09230769230769233
P30291	0.11162790697674417	0.021705426356589147	0.057364341085271324	0.049612403100775186	0.09457364341085273	0.02015503875968992	0.006201550387596899	0.012403100775193798	0.006201550387596899	0.017054263565891473	0.05426356589147287	0.007751937984496123	0.03255813953488372	0.010852713178294572	0.055813953488372085	0.04496124031007752	0.010852713178294572	0.013953488372093023	0.04186046511627907	0.03255813953488372	0.10232558139534884	0.017054263565891473	0.04496124031007752	0.03565891472868217	0.09767441860465116
