target_id	hydrophobicity_PRAM900101.G1	hydrophobicity_PRAM900101.G2	hydrophobicity_PRAM900101.G3	hydrophobicity_ARGP820101.G1	hydrophobicity_ARGP820101.G2	hydrophobicity_ARGP820101.G3	hydrophobicity_ZIMJ680101.G1	hydrophobicity_ZIMJ680101.G2	hydrophobicity_ZIMJ680101.G3	hydrophobicity_PONP930101.G1	hydrophobicity_PONP930101.G2	hydrophobicity_PONP930101.G3	hydrophobicity_CASG920101.G1	hydrophobicity_CASG920101.G2	hydrophobicity_CASG920101.G3	hydrophobicity_ENGD860101.G1	hydrophobicity_ENGD860101.G2	hydrophobicity_ENGD860101.G3	hydrophobicity_FASG890101.G1	hydrophobicity_FASG890101.G2	hydrophobicity_FASG890101.G3	normwaalsvolume.G1	normwaalsvolume.G2	normwaalsvolume.G3	polarity.G1	polarity.G2	polarity.G3	polarizability.G1	polarizability.G2	polarizability.G3	charge.G1	charge.G2	charge.G3	secondarystruct.G1	secondarystruct.G2	secondarystruct.G3	solventaccess.G1	solventaccess.G2	solventaccess.G3
Q13507	0.31100478468899523	0.3157894736842105	0.3732057416267943	0.35167464114832536	0.3133971291866029	0.3349282296650717	0.4832535885167464	0.19497607655502391	0.3217703349282297	0.4078947368421053	0.17822966507177032	0.4138755980861244	0.5023923444976076	0.34210526315789475	0.15550239234449764	0.4055023923444976	0.23444976076555024	0.36004784688995217	0.3444976076555024	0.15789473684210525	0.4976076555023923	0.32057416267942584	0.4055023923444976	0.27392344497607657	0.4138755980861244	0.2583732057416268	0.3277511961722488	0.2667464114832536	0.4593301435406698	0.2739234449760765	0.11363636363636365	0.7655502392344498	0.1208133971291866	0.4593301435406698	0.3026315789473684	0.23803827751196174	0.4521531100478469	0.31100478468899523	0.2368421052631579
P25024	0.21428571428571427	0.3314285714285714	0.4542857142857143	0.3	0.32285714285714284	0.3771428571428571	0.43142857142857133	0.20857142857142855	0.35999999999999993	0.3171428571428571	0.19142857142857145	0.4914285714285714	0.4171428571428572	0.4114285714285714	0.17142857142857146	0.3142857142857143	0.24857142857142855	0.4371428571428572	0.22857142857142854	0.18857142857142856	0.5828571428571429	0.32857142857142857	0.4028571428571429	0.2685714285714286	0.4914285714285714	0.2657142857142857	0.24285714285714285	0.2657142857142857	0.4657142857142857	0.2685714285714285	0.08285714285714285	0.8571428571428571	0.06000000000000005	0.4171428571428572	0.3485714285714286	0.23428571428571426	0.5314285714285715	0.21428571428571427	0.2542857142857142
P01024	0.3361395069152135	0.34696331930246543	0.316897173782321	0.4058929645219483	0.3180998196031269	0.2760072158749249	0.523752254960914	0.21046301864101025	0.2657847263980757	0.4648226097414312	0.1840048105832832	0.3511725796752856	0.5730607336139507	0.3144918821407096	0.11244738424533972	0.4377630787733013	0.2555622369212267	0.306674684305472	0.3644016837041491	0.20865904990980155	0.4269392663860494	0.3656043295249549	0.3974744437763079	0.2369212266987372	0.35117257967528565	0.2952495490078172	0.3535778713168972	0.2994588093806374	0.4636199639206254	0.2369212266987372	0.11725796752856285	0.7546602525556224	0.1280817799158147	0.43836440168370416	0.29705351773902583	0.26458208057726995	0.41250751653637996	0.3361395069152135	0.25135297654840644
Q16832	0.2994152046783626	0.3625730994152047	0.3380116959064328	0.4	0.28771929824561404	0.31228070175438594	0.5251461988304094	0.18128654970760236	0.2935672514619883	0.4327485380116959	0.191812865497076	0.3754385964912281	0.5473684210526316	0.3064327485380117	0.14619883040935666	0.4140350877192983	0.26666666666666666	0.31929824561403514	0.3321637426900585	0.2152046783625731	0.4526315789473684	0.3859649122807017	0.36023391812865496	0.2538011695906433	0.3754385964912281	0.304093567251462	0.3204678362573099	0.3111111111111111	0.4350877192982456	0.25380116959064325	0.0912280701754386	0.7859649122807018	0.1228070175438596	0.3953216374269006	0.2970760233918129	0.3076023391812865	0.4222222222222222	0.2994152046783626	0.27836257309941514
Q8NER1	0.2979737783075089	0.3623361144219309	0.3396901072705602	0.3814064362336114	0.2979737783075089	0.3206197854588797	0.5137067938021455	0.17878426698450536	0.3075089392133492	0.4290822407628129	0.19189511323003572	0.3790226460071514	0.5387365911799762	0.32777115613825986	0.13349225268176396	0.398092967818832	0.2753277711561383	0.32657926102502977	0.33134684147795	0.20738974970202625	0.4612634088200239	0.3814064362336114	0.35518474374255066	0.26340882002383803	0.37902264600715135	0.3075089392133492	0.3134684147794995	0.3170441001191895	0.4195470798569726	0.2634088200238379	0.11203814064362336	0.7747318235995232	0.11323003575685342	0.4350417163289631	0.2955899880810489	0.2693682955899881	0.4362336114421931	0.2979737783075089	0.265792610250298
Q99707	0.3217391304347826	0.35889328063241105	0.3193675889328064	0.3818181818181817	0.3272727272727273	0.2909090909090909	0.5201581027667984	0.19604743083003956	0.2837944664031621	0.4150197628458498	0.2308300395256917	0.35415019762845845	0.5399209486166008	0.3241106719367589	0.1359683794466403	0.4237154150197629	0.2640316205533597	0.3122529644268775	0.332806324110672	0.20711462450592885	0.4600790513833991	0.383399209486166	0.3739130434782609	0.2426877470355731	0.3541501976284585	0.3027667984189723	0.34308300395256924	0.3193675889328063	0.4379446640316206	0.2426877470355732	0.11225296442687747	0.7478260869565218	0.13992094861660076	0.44980237154150204	0.2782608695652174	0.27193675889328056	0.4529644268774704	0.3217391304347826	0.22529644268774698
P30082	0.2268041237113402	0.3649484536082474	0.4082474226804124	0.3257731958762887	0.3175257731958763	0.3567010309278351	0.465979381443299	0.21030927835051547	0.3237113402061855	0.35670103092783506	0.1958762886597938	0.4474226804123711	0.4597938144329897	0.37938144329896906	0.16082474226804133	0.3422680412371134	0.2824742268041237	0.3752577319587629	0.2865979381443299	0.1731958762886598	0.5402061855670104	0.3711340206185567	0.3649484536082474	0.2639175257731959	0.4474226804123712	0.2948453608247423	0.2577319587628866	0.28865979381443296	0.4474226804123712	0.2639175257731959	0.08865979381443301	0.8391752577319588	0.07216494845360821	0.4268041237113402	0.3216494845360825	0.2515463917525773	0.5051546391752577	0.2268041237113402	0.2680412371134021
P50416	0.2923673997412678	0.3777490297542044	0.3298835705045278	0.3673997412677879	0.3285899094437257	0.3040103492884864	0.5200517464424321	0.19922380336351875	0.2807244501940491	0.4049159120310479	0.22250970245795604	0.3725743855109961	0.5304010349288486	0.33376455368693403	0.13583441138421734	0.4087968952134541	0.2846054333764554	0.3065976714100905	0.3350582147477361	0.19534282018111251	0.4695989650711514	0.369987063389392	0.33376455368693403	0.29624838292367395	0.37257438551099614	0.3053040103492885	0.3221216041397153	0.31047865459249674	0.3932729624838293	0.2962483829236741	0.11901681759379044	0.7761966364812419	0.1047865459249676	0.4411384217335058	0.2975420439844761	0.2613195342820181	0.42561448900388105	0.2923673997412678	0.2820181112548512
P30542	0.20552147239263804	0.34049079754601225	0.4539877300613497	0.24539877300613494	0.3496932515337423	0.4049079754601227	0.40184049079754597	0.2147239263803681	0.3834355828220859	0.3220858895705521	0.18711656441717792	0.49079754601227	0.39570552147239263	0.40184049079754597	0.2024539877300614	0.32515337423312884	0.2423312883435583	0.4325153374233129	0.22392638036809814	0.17177914110429449	0.6042944785276073	0.34355828220858897	0.4141104294478528	0.2423312883435583	0.4907975460122699	0.2883435582822086	0.22085889570552145	0.2484662576687117	0.50920245398773	0.24233128834355835	0.08282208588957055	0.8558282208588958	0.06134969325153373	0.40797546012269936	0.3680981595092024	0.2239263803680982	0.5613496932515337	0.20552147239263804	0.23312883435582826
Q99895	0.2723880597014925	0.376865671641791	0.3507462686567165	0.3880597014925373	0.3358208955223881	0.2761194029850746	0.5485074626865671	0.2126865671641791	0.2388059701492537	0.3880597014925373	0.2388059701492537	0.3731343283582089	0.5298507462686567	0.31716417910447764	0.15298507462686567	0.3656716417910448	0.3208955223880597	0.3134328358208955	0.2873134328358209	0.24253731343283585	0.4701492537313433	0.4216417910447761	0.3619402985074627	0.21641791044776126	0.373134328358209	0.3283582089552239	0.2985074626865672	0.3358208955223881	0.4477611940298508	0.2164179104477612	0.09701492537313433	0.8097014925373134	0.09328358208955234	0.373134328358209	0.3208955223880597	0.3059701492537314	0.5	0.2723880597014925	0.22761194029850745
