target_id	edp0	edp1	edp2	edp3	edp4	edp5	edp6	edp7	edp8	edp9	edp10	edp11	edp12	edp13	edp14	edp15	edp16	edp17	edp18	edp19
P17599	1.6398970170500002	1.91202059659	1.85438565341	2.05719105114	2.54817116477	2.4310191761400004	1.70101207386	2.0065518465900003	1.99245383523	2.2777876420500003	2.11276633523	1.70360440341	1.90420809659	2.69621803977	4.04245383523	2.02807173295	1.69714133523	2.96148792614	1.99302201705	1.86685014205
Q62986	1.81626420455	2.41877367424	2.15504261364	2.47705965909	2.91991003788	2.24642518939	2.24268465909	2.34727746212	2.6157907197	2.27223011364	2.43525094697	2.23979640152	2.31418087121	2.54784564394	3.03070549242	2.3439157197	1.67436079545	3.58638731061	2.23496685606	1.98747632576
O95271	4.86689622642	5.27066981132	6.36197169811	6.133896226419999	4.23936792453	5.58917924528	5.904575471699999	5.35831132075	7.35168867925	5.311594339619999	5.86676415094	5.69091509434	4.646292452830001	5.13248113208	5.47921698113	4.09931132075	4.32104716981	6.9566509434000015	5.853537735850001	4.96346226415
P27695	2.19960443038	2.55609177215	2.4894778481	2.71091772152	2.9356012658200004	2.01155063291	2.32444620253	2.58109177215	2.59683544304	2.6332278481	2.56297468354	2.69738924051	2.3537974683500003	2.64398734177	3.04905063291	2.13457278481	2.00379746835	4.37191455696	2.4407436708900003	2.4189873417700003
P00519	2.0493461879400003	2.65989583333	2.46366356383	2.7165447695	2.80218306738	2.34438164894	2.65344636525	2.57942154255	2.64469193262	2.5374445922	2.5805961879400003	2.4983266844	2.47060062057	2.87669547872	3.25377881206	2.57370345745	2.12219636525	3.64427083333	2.67955452128	2.43013076241
P43250	3.05642421603	3.95202526132	3.66787891986	4.325152439019998	3.99409843206	3.62780923345	4.11212979094	4.08839285714	3.90237369338	4.00681620209	4.199891114980002	4.1337325784	3.7680966899	4.92175522648	4.20921167247	3.28316637631	3.09431620209	4.85381097561	4.0464503484300005	3.63355836237
P11064	4.28341346154	5.46049679487	4.54030448718	6.061298076919999	5.56610576923	4.53100961538	5.4976762820500005	5.69543269231	5.1359775641	4.67988782051	4.63918269231	5.0555288461500005	4.91626602564	4.9797275641	5.8824519230800005	4.27395833333	3.76450320513	5.7172275641	5.04190705128	4.181490384619998
P60568	1.47011589404	1.73832781457	2.28004966887	2.0439569536400004	2.2081953642400003	1.96283112583	2.26498344371	1.8469370860900003	1.69445364238	1.98832781457	2.3173013245	1.96647350993	1.69428807947	2.05786423841	2.09925496689	1.76001655629	1.65504966887	1.96829470199	1.6724337748299998	1.70753311258
Q96S37	2.28098911071	3.2274047186900003	2.83425589837	3.44573502722	3.35376588022	2.51556261343	3.19119782214	3.0380671506400003	2.88443738657	3.02540834846	3.11039019964	3.00104355717	2.96778584392	3.57309437387	3.14351179673	2.36674228675	2.34945553539	4.31007259528	3.0912431941900005	2.61574410163
Q9H2K2	5.3147766323	5.800730240549999	7.036103951889999	6.80234106529	4.538767182130001	6.202942439859999	6.48094931271	5.911877147769999	7.96215635739	5.80472508591	6.42682560137	6.3170532646	5.170489690719999	5.56400343643	5.82987542955	4.44768041237	4.76527061856	7.70066580756	6.3628436426100015	5.4383376288699985
P14061	4.64758435583	4.71123466258	4.04290644172	4.6034892638	3.97710889571	3.9409892638	4.44612730061	5.08922546012	4.04881134969	4.92580521472	4.46460889571	4.05187883436	4.1085506135	4.95272239264	4.9073236196300005	3.85049846626	3.67641871166	4.89812116564	4.0909892638	4.854792944790001
P37058	5.61351461039	6.63396915584	5.77325487013	6.21659902597	4.955235389609999	5.45409902597	6.01676136364	6.35215097403	5.54646915584	5.78364448052	5.68056006494	6.08348214286	5.3195211039	5.77731331169	5.99825487013	5.16343344156	4.8007711039	6.771306818180001	5.66935876623	5.6455762987
P08581	2.35643011527	2.99954971182	2.97492795389	3.20457492795	3.72957492795	2.6370857348700003	2.87573847262	3.17110951009	3.09021974063	3.09951368876	3.04855907781	2.6206592219	2.78247478386	3.32613472622	3.5653278098000003	2.76433717579	2.56125720461	3.634870317	3.1299531700300003	3.0054574928
P21588	3.60265679443	3.77147212544	4.11655052265	4.68771777003	3.99507839721	3.56946864111	3.99642857143	4.47974738676	3.91615853659	4.76833623693	4.2418554007	3.68702090592	3.65918989547	4.50701219512	4.25513937282	3.34429442509	3.66668118467	4.80535714286	4.03157665505	4.47578397213
P06737	1.52968934911	1.97306213018	1.87678994083	2.22974852071	2.57421597633	1.62779585799	1.92122781065	2.04300295858	2.19474852071	1.97326923077	1.83708579882	1.72161242604	2.00167159763	2.12610946746	2.32483727811	1.48019230769	1.4812573964500002	3.6742455621300008	2.20134615385	1.74383136095
Q08499	1.94261152416	2.54741325898	2.45339219331	2.7406598513	2.71454460967	2.30531288724	2.54152726146	2.34403655514	2.97436493185	2.32783457249	2.44586431227	2.233255886	2.42467472119	2.8720105328400005	3.0880266418799995	2.26157063197	1.91407992565	3.68381350682	2.3790737298599995	2.08201672862
Q9UBN7	2.31997114592	2.62023907667	2.43862324815	2.96881698269	3.13192497939	2.30607996702	2.65373042045	2.93944765045	3.2261335531700004	2.50237015664	2.50748145095	2.32093981863	2.33227535037	2.61139736191	3.220094806270001	2.21527205276	2.0245053586200004	3.75700741962	2.76269579555	2.45298845837
P08842	2.52136402754	2.9081110154900003	2.86391996558	3.21731927711	3.66701807229	2.56792168675	2.72360154905	3.06465146299	3.23745697074	3.26671686747	3.26675989673	2.68014199656	3.1267426850300004	3.4046256454400003	3.51955679862	2.43349827883	2.47786144578	4.20974612737	3.36327452668	2.75621772806
